method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
LOCO_sqd,569,316.5200231075287,4.4647402314394487e-07,0.0,2.277859137423361e-117,1.5745173782505702e-36,1.0,1.2084171868048285e-40,1.0,0.0,6.235504736842125e-31,1.0,1.217039320966e-99,0.0,1.7293883662243832e-43,1.0,0.0,4.328233994076709e-46,2.009129839626343e-18,1.7486876928715437e-06,1.0,1.0,5.549168009178692e-07,1.0425528829255033e-204,0.0,0.5325473065135915,0.0,1.0,1.0,0.0,1.0,1.0,1.0
S-CPI_ST,569,15.262672901153564,0.0006260783778861907,0.08424185874442919,0.9997982107803486,0.3798970170609147,0.9999999999997442,1.0,1.0,0.9999999999997442,0.9999999983109625,1.0,1.0,0.11050562431985395,0.9767677870025979,0.6201029829390853,0.984022985703631,0.9999691548212414,1.0,0.9999991801781616,1.0,0.9999999955611955,0.033071455071405874,0.6201029829390853,0.3798970170609147,0.820582892099578,0.9999982177454738,1.0,0.8894943756801461,0.2704057889984681,0.08424185874442919,0.9999999318581054,0.5607497646261659
S-CPI_Wilcox,569,15.298052072525024,0.0016584924600352758,0.2935911060330124,0.9977031871533831,0.8393869930297426,0.038546436657276056,0.6430821378858946,0.1692947847857979,0.005844930835404037,0.0006549096860975061,0.9466795591754112,0.18469035300673503,0.3466271265527647,0.9810544149593567,0.014487462671801796,0.26158027642783993,0.4815651855665388,0.10144243782401591,0.07386095420408868,0.5797331691641663,0.665391422435148,0.000745197919504607,0.29625167096575356,0.9222758972801238,0.2500859769336773,0.00022814220671020944,0.19337549608479815,0.7713909838751396,0.007621334277379557,0.15722089785566018,0.8134941723790028,0.95242882116438
LOCO_ST,569,316.28079175949097,8.198218384277452e-07,8.198218384277452e-07,0.32324167230767203,0.08424185874442919,0.015977014296369,0.14215682898767304,0.02323221299740207,0.22226642865008342,0.6201029829390853,0.7777335713499166,0.9157581412555709,0.004561041537716045,0.02323221299740207,0.0001105403458514068,0.9971271764246672,0.7295942110015319,0.820582892099578,0.4392502353738342,0.22226642865008342,0.5000000000000004,0.999999632603784,0.002872823575332803,0.001768988753774539,0.3798970170609147,3.7758650937359577e-06,0.820582892099578,0.06295438559382185,3.0845178758587814e-05,0.14215682898767304,0.0461018026829245,0.9892467287683748
LOCO_Wilcox,569,316.28079175949097,6.750406552503283e-08,7.694751877299453e-07,0.10548834910944516,0.5,0.0025840380889399013,0.1284681601695034,0.0111320170629418,0.03532740091066024,0.33854136297683013,0.5123045991240057,0.9330904535424996,0.0010836794110076525,0.006125108448313102,0.00048749550956688614,0.9965084910302677,0.5116895499051659,0.5776497030503976,0.44723660606712173,0.2727158312227681,0.5086139160349745,0.9999963328573518,0.0006572074432931481,0.004008166420842833,0.6028246318520032,3.6607044910000334e-07,0.7600358865574364,0.1278220581678975,1.1718343199207344e-06,0.05712045761509441,0.013759152734318117,0.995282203656741
Semi_KO_ST,569,43.39912796020508,0.36868667675438377,0.1378551659712717,0.692521713069828,0.1781945373017007,1.0,1.0,1.0,1.0,1.0,1.0,0.01175114642731956,0.46659494787882455,0.9230036553090122,0.005912893671342442,1.0,1.0,1.0,1.0,1.0,1.0,0.30747828693017204,0.8218054626982993,0.08985205132719719,0.4007143670282632,1.0,1.0,0.20090112465219823,0.22525910017364234,0.5665765024792649,1.0,0.36868667675438377
Semi_KO_Wilcox,569,43.41234016418457,0.11618423964125668,0.09890361504353756,0.6633827357635215,0.9382086972428592,0.4112868325467406,0.5437899049280802,0.1396963829836586,0.024734593304112974,0.6264104077887797,0.8367681818968613,0.036689667749379526,0.34015973653152176,0.9639808042340352,0.6481835534960255,0.10154552934953098,0.4955073272729697,0.8950101814671885,0.572685853564585,0.09091686340808441,0.07731505787664673,0.08801576129085353,0.30443447865742507,0.8298734363590297,0.8143447589151854,0.321333653761519,0.04585441914582097,0.5747537335577814,0.028846261102102717,0.23304561247345695,0.18589234608697447,0.28345542387709527
dCRT,569,439.09270548820496,0.49817475405610234,0.77488137641567,0.5867136327644877,0.6562956323667354,0.7949446823612132,0.007963147783418738,0.03881415635854353,0.6496616215436903,0.773365924219224,0.6499188846955053,0.2847555845666272,0.5285593449143413,0.8432382810566075,0.9210538580385047,0.11105582982404111,0.9320423820982817,0.00861376939501232,0.15415019135944957,0.7554751461006323,0.3900515320397354,0.15069086058167608,0.16503317078399893,0.9692085137576699,0.31939506483425095,0.612495536460566,0.5496006502160753,0.5264706300630194,0.3669513596425156,0.14017985909663164,0.05459015250922065,0.5104636244391041
HRT,569,3720.500922679901,0.001256281407035176,0.29396984924623115,0.5959798994974874,0.08492462311557789,0.5221105527638191,0.36809045226130654,0.04120603015075377,0.0017587939698492463,0.18618090452261307,0.4658291457286432,0.9585427135678392,0.40603015075376886,0.33391959798994975,0.0407035175879397,0.16733668341708544,0.35326633165829147,0.20552763819095476,0.4193467336683417,0.8030150753768844,0.5010050251256282,0.14346733668341707,0.054271356783919596,0.9620603015075377,0.4665829145728643,0.12537688442211056,0.2756281407035176,0.9721105527638191,0.004522613065326633,0.07311557788944724,0.8530150753768844,0.46407035175879396
Semi_KO_ST_perm5,569,121.05589699745178,0.155672973702478,0.7733476960349464,0.6035193676488093,0.07709249809090135,1.0,1.0,1.0,1.0,1.0,1.0,0.01222294586451972,0.844327026297522,0.844327026297522,0.2998132881473904,1.0,1.0,1.0,1.0,1.0,1.0,2.986359649417642e-05,0.4701111386435319,0.5000000000000001,0.08265959330670458,1.0,1.0,0.07181499851945294,0.1942311627422688,0.04947943332770258,1.0,0.28691024612933325
Semi_KO_Wilcox_perm5,569,120.97750854492188,0.6967753595202211,0.9895623361578949,0.10723955119919504,0.000626299038323272,0.5986977176980485,0.021022457527944658,0.056775291923299324,0.0077707478669525555,0.6648952678092045,0.7534540471191282,4.14177892351171e-05,0.21433295466040203,0.8806086361528658,0.009684000086965261,0.0560152250630307,0.6810979158440056,0.6619217436732467,0.9679477529447739,0.43142253854265866,0.9380500835831376,4.8815963532310355e-05,0.21830124598950607,0.8936678044113542,0.1382466946825816,0.031041355795314203,0.71244561079743,0.0015304870466870805,0.22140167466486377,0.7493836506077025,0.13193183734278474,0.03937298709742381
Semi_KO_ST_perm10,569,217.57226872444153,0.03893086818639944,0.8463221656163104,0.16004531710752834,0.04121894532013188,1.0,1.0,1.0,1.0,1.0,1.0,9.21595613424956e-06,0.036747294575600074,0.3701637743308773,0.030790592305137966,1.0,1.0,1.0,1.0,1.0,1.0,4.5280236943344625e-08,0.06705837630515202,0.2666187944121045,0.08605050223005349,1.0,1.0,0.00014742041041147997,0.47357593186520064,0.16658287148531797,1.0,0.17329032314668885
Semi_KO_Wilcox_perm10,569,218.74140453338623,0.012600106498541772,0.7148783270307669,0.3478315363862133,0.1926606731808806,0.6320583809569178,0.12105149581521402,0.08268303288067141,0.15814019156033232,0.4419435222909337,0.03274606082508992,2.331206364371094e-07,0.15044153751657752,0.45080892501918723,0.5676358494065078,0.027068697462833014,0.005707745866806768,0.9299771894762778,0.7295495252655069,0.48709267855028343,0.16693397602414134,8.821390500928641e-09,0.11414301468350324,0.5685114364751312,0.06708332622887048,0.0019115203938457833,0.5755206354419079,1.7653277847505327e-05,0.19120415780767436,0.47644929104536754,0.022826226873739964,0.13409450047756066
